hero1,value
"CHASE, DETECTIVE SLO",9
"CHASE, TREVOR",3
"CHASIN, MAJOR",19
"CHATTERTON, DAVE",57
CHAUFFARD,2
CHECK,6
CHEETAH,12
"CHEEVER, JOHN",14
"CHEKOV, ARTHUR ANTON",135
CHEMISTRO III,20
CHEMISTRO/CURTIS CAR,26
CHEN,66
"CHEN, DR.",5
"CHEN, JOANNA",2
"CHENEY, LILA",213
"CHERRYH, RANDOLPH WI",29
CHESBRO,67
"CHESNEY, SANFORD",4
CHI DEMON/PROFESSOR ,1
CHI-CHEE,25
"CHIANG, PROF.",5
CHIEF EXAMINER,38
CHIMERA II,71
CHIMERA/ZUHN,3
CHINA DOLL,141
CHINOOK,26
CHIRA,12
CHLOE,5
CHLORINE,49
CHONDU,90
"CHORD, ANDREW",202
"CHORD, MIYAMI",45
CHROME/,7
CHROMIUM,3
CHTYLOK,5
"CHUNG, LAO WEI",21
"CHURCH, LYNN",45
"CHURCHILL, LORD",79
"CHURCHILL, SIR WINST",24
"CICERO, CAESAR BIG C",59
CINDER/,4
"CIR, DYLON",14
"CIRE, EYLA",50
"CIRE, EZRA",5
