hero1,value
"PINKERTON, PERCIVAL ",13
"PINKERTON, RUDY",7
"PINKWATER, ELLA",2
PINTA,3
PIP/PRINCE GOFERN,555
PIPELINE/CORMICK GRI,103
PIPER,61
PIRANHA,17
PIRANHA II/,7
PIROUETTE/JOBETH,25
PISCES II,24
PISCES/NOAH PERRICON,52
PISTON/ANDREI SEMYAN,5
PIXIE II/,3
PIXIE/ [ETERNAL],79
PLAGUE,108
PLANNER,22
PLANTMAN/SAM SMITHER,143
PLASMA WRAITH,8
PLASMA/,4
PLAZM,10
PLEX INTELLIGENCE,4
"PLEXICO, DET.",17
"PLUNDER, ADAM KYLE M",90
PLUNDERER/LORD EDGAR,80
PLUTO [OLYMPIAN],181
PLUTONIUM,2
PO,5
"PO, KIM",9
"POGUE, BARTON",6
POISON/CECILIA CARDI,4
"POITIER, CLAUDE",23
POLARIS DOPPELGANGER,30
POLARIS | MUTANT X-V,76
POLARIS/LORNA DANE,1682
POLESTAR/,11
"POLOMBO, CATHY",12
POLTERGEIST/MICKEY S,32
"POMEROY, SYLVIA",12
"PONG, WU",17
POPE,18
POPEYE,12
POPPA WHEELER,43
PORCAL,76
PORCUPINE/ALEX GENTR,93
PORGA,4
PORTAL/CHARLES LITTL,37
"PORTER, KIM",4
POSITRON/RONNIE,82
"POTTER, BETSY BEATTY",47
POUNDCAKES/MARIAN PO,76
POWDERKEG II,5
POWDERKEG/FRANK SKOR,1
POWELL,39
"POWELL, AMY",7
"POWELL, GRACE",112
"POWELL, JASON",77
"POWELL, JONATHAN",81
"POWELL, OFFICER MIKE",51
POWER MAN II | MUTAN,31
POWER MAN III/STEELE,19
POWER MAN/ERIK JOSTE,724
POWER PRINCESS/ZARDA,252
"POWER, DR. JIM",286
"POWER, DR. MAX",9
"POWER, LEFTENANT",4
"POWER, MARGARET",288
POWERHOUSE II/,2
POWERHOUSE IV/,2
POWERHOUSE/RIEG DAVA,41
POWERSURGE/ILLARION ,83
PRADDA FOL,39
"PRAZNIKI, ANNIE",11
"PRAZNIKI, SYLVIA",11
"PRAZNIKI, VICTOR",13
PREECHA,24
"PRENTISS, BETTY DEAN",26
PRESIDENT ITOES [TRI,6
PRESTER JOHN,33
PRETTY BOY,112
PRETTY LARRY,1
PRETTY PERSUASIONS/H,86
PREYY,53
PRIME MOVER,10
"PRIMO, ALEXIS",4
PRIMUS,44
PRIMUS II,8
PRINCE BAYAN,7
PRINCE REY,36
"PRINCE, DIANA",3
PRINCESS FEN [ATLANT,23
PRINCESS NEPTHYS/SAN,7
PRINCESS PEARLA,16
PRINCESS PYTHON/ZELD,245
PRINCESS SANDELLA,57
PRINCESS ZAFINA,19
PRINCESS ZANDA,15
PRISM,32
"PRO, LE/",20
PROCTOR,43
"PROCTOR, COORDINATOR",36
PRODIGAL/,34
PRODIGY/,6
PROFESSOR ANGST/DR. ,22
PROFESSOR POWER/ANTH,54
PROFESSOR X DOPPELGA,24
PROFESSOR X | EARTH ,8
PROFESSOR X | MUTANT,35
PROFESSOR X/CHARLES ,3973
PROFESSOR XAVIER 201,16
PROGENITOR,8
PROJECTOR/,58
PROMETHEUS II,45
PROMETHEUS [OLYMPIAN,42
PROSH,37
"PROSPERO, DR./HARPER",4
PROTECTOR III/,25
PROTEUS II,45
PROTO-GOBLIN/VAN ADD,2
PROTOCIDE/PRIVATE CL,36
"PROUST, PAUL",20
"PROVENZANO, PAULIE",26
PROWLER III/RICK LAW,19
PROWLER/HOBIE BROWN,157
"PRYDE, CARMEN",21
"PRYDE, TERRI",7
PSI-BORG/,27
PSI-LORD/FRANKLIN BE,190
PSI-WOLF/NIKOLAI VON,2
PSIMON,9
PSIREN,14
PSYCHE II/PSYKOS/RON,13
PSYCHO-MAN,118
PSYKLOP,24
PSYLOCKE 2013,5
PSYLOCKE/ELISABETH B,2210
PSYNAPSE,104
PUCK DOPPELGANGER,42
PUCK DOPPELGANGER II,118
PUCK | MUTANT X-VERS,4
PUCK/EUGENE MILTON J,1028
PUDDLEGULP,55
"PUENTES, DONNA MARIA",24
PUFF ADDER,171
"PULASKI, JOSEPHINE J",9
PULSAR II/LAN,9
PULSAR/PLOR,9
PULSE II/,5
PULSE/,5
PULSSUS,47
PUMA/THOMAS FIREHEAR,142
PUMPKIN,1
PUNCHOUT,25
PUNISHER,24
PUNISHER II/FRANK CA,785
PUNISHER/FRANK CASTL,4
PUPPET MASTER/PHILLI,312
PUPPY,62
"PURL, DR. NOAH",14
PURPLE MAN/ZEBEDIAH ,52
PURSUER,5
"PUSHKIN, IVAN",25
PYLLAR,69
"PYRAKH, COMMANDER",4
PYRE,7
PYRE II,14
PYRO/ALLERDYCE JOHNN,396
PYRON/,3
Q,1
Q'WAKE/QUAKE,13
QABIRI,3
QIRMET,31
QNAX,16
QUAGMIRE,95
QUANTUM,10
QUARK,7
QUARRY,12
"QUARTERMAIN, CLAY",275
QUASAR,1
QUASAR DOPPELGANGER,40
QUASAR DOPPELGANGER ,3
QUASAR II,72
QUASAR III/WENDELL V,1857
QUASIMODO,58
"QUAYLE, DAN",14
QUEEN DIVINE JUSTICE,121
QUEEN KNORDA/NORA QU,49
QUEEN OF STAR SWORDS,7
"QUENTIN, RALPH",3
QUENTINO,26
"QUESADA, JOE",18
QUESTA,63
QUICKSAND,192
QUICKSILVER DOPPELGA,70
QUICKSILVER | MUTANT,69
QUICKSILVER/PIETRO M,2756
QUIET BILL,8
QUILL,22
"QUINN, ASHLEY",33
"QUINN, MIRANDA/M'RYN",5
"QUINN, MR.",9
"QUINN, PAMELA",47
QUISLING,36
QUORUM/,11
R'TEE,104
RA'AL,35
RAA,13
RABBIT,9
"RABIN, GRETTA",12
"RACAL, CONSTANTIN",10
"RADCLIFFE, TODD",14
"RADD, FENNAN",5
RADIOACTIVE MAN II/D,3
RADIOACTIVE MAN/DR. ,169
RADION,6
RADIUM,20
RADIUS/JARED CORBO,172
RAGA,2
RAGAR,20
RAGE/ELVIN DARYL HAL,535
RAGGADORR,6
RAHL,8
"RAHN, TAMARA",67
RAI,7
RAINBOW,17
"RAINBOW, BECKY",7
"RAINTREE, VIVIAN",3
RAKESH,4
"RAKIM, SEN. KAMAL",13
RAKKUS,11
RAKSOR [SKRULL],20
"RALEIGH, RICHARD",18
RALF,14
"RALSTON, SENATOR ROB",28
"RAM, SIR",147
RAMA KALIPH,10
RAMAN,6
"RAMBEAU, FRANK",61
"RAMBEAU, MARIA",36
RAMBO,34
"RAMIREZ, ALMA",34
"RAMIREZ, JAVIER",24
"RAMIREZ, LUIS",13
"RAMIREZ, MARTA",24
"RAMIREZ, ROSA",31
RAMON,9
RAMONDA,36
"RAMOS, ROGER",7
RAMPAGE/STUART CLARK,48
RAMROD,3
RAMROD II,21
RAMROD III/,9
RAMSHOT/,7
"RAND, HEATHER DUNCAN",10
"RANDEAU, DR.",11
RANDI,74
RANDOM,18
RANDOM II/MARSHALL E,66
RANGER I/,32
RANGER II,3
"RANIER, MIKE",2
"RANN, COMMANDER ARCT",25
"RANSOME, DR. SUSAN",22
"RANSOME, JENNIFER AM",157
RAPIDO,15
RAPIER,19
RAPTAR,3
RAPTOR II/PROFESSOR ,9
RAPTOR/PAUL HAZLETT,1
RAPTURE/SISTER JOY,13
RAPUNZEL,30
RASPUTIN,12
"RASPUTIN, LUCIFER",5
"RASPUTIN, MIKHAIL",135
"RASPUTIN, NIKOLAI",13
"RASPUTINA, ALEXANDRA",19
"RASPUTINA, ILLYANA I",31
"RASSITANO, MAD DOG",162
RAT,4
"RATLIFF, OFFICER LAR",8
RATTACK,5
RATTLER,158
RAVAGE/PROF. GEOFFRE,7
RAVEN | MUTANT X-VER,18
"RAVEN, HELEN",1
"RAVEN, LT. JACOB",136
"RAVEN, MATTHEW",14
"RAVEN, SABBATH",11
"RAVEN, SABBATH II/EL",16
RAVENWOOD,7
RAVONNA LEXUS RENSLA,123
RAWHIDE KID,10
RAX,74
"RAYMOND, ANN",67
"RAYMOND, FRED",1
"RAYMOND, HENRY/ADAM ",5
"RAYMOND, NORA JONES",4
RAZA LONGKNIFE,412
RAZOR/,1
RAZORBACK/,47
RAZORBLADE II/,14
RAZORBLADE/,11
RAZORFIST,6
RAZORFIST II,9
RAZORFIST III,35
RAZORFIST IV/MARCO S,1
RAZORFIST ROBOT,8
RAZORWIRE,3
"REAGAN, NANCY",12
"REAGAN, RONALD",122
"REANDEAU, DR.",3
REANIMATOR/,9
REAPER,31
REAPER II,98
REAVER/JOSHUA STRAGG,2
"REAVES, VERNON",4
REBEL/,12
REBO,3
REBOUND/,14
RECKLESS ERIC/,9
RECOIL/,3
RECORDER II,119
RED GHOST/IVAN KRAGO,210
RED GUARDIAN II/ALEX,47
RED GUARDIAN III/DR.,238
RED GUARDIAN IV,14
RED GUARDIAN V,123
RED QUEEN,21
RED RAVEN,56
RED RAVEN II,26
RED RONIN,31
RED SHIFT,3
RED SKULL II/ALBERT ,8
RED SKULL/JOHANN SCH,499
RED WOLF III/WILL TA,107
RED WOLF/WILDRUN,27
REDEEMER/CRAIG SAUND,91
REDJEK/,10
REDSTONE/,19
REDWING,418
REDWING II,4
REE,23
"REESE, MURRAY",163
"REEVES, MAJOR",16
REFLEX/,18
REI,5
REIGNFIRE/,46
REIKO,22
"REILLY, MAVIS",7
REINHOLDT,19
"REINMAN, PAULA",7
"REISS, JACOB",5
"REISZ, RAY",9
REJECT/RAN-SAK [DEVI,209
REM-RAM/,5
REMIPED,15
REMORA,12
"RENKO, DR. IRENO",9
"RENO, AGENT",7
REPLICUS,25
REPTILLA,62
REPTYL,58
REQUIEM/,2
"RESTON, CLIVE",188
RETREAD,28
REVELATION,4
REVELATION II/,8
REVENANT/,17
"REVER, BRAD",9
"REVER, DAN",6
REVERB,6
"REYES, DR. CECELIA",149
"REYES, DR. DANIEL",15
"REYNOLDS, KATHERINE",15
"REYNOLDS, LINDY",12
RHAPSODY/RACHEL ARGO,25
RHINO,347
"RHODES, MR.",4
"RHODES, MRS.",8
"RICHARDS, FRANKLIN 2",45
"RICHARDS, FRANKLIN B",1783
"RICHARDS, FRANKLINK ",9
"RICHARDS, NATHANIEL",178
"RICHARDS, REED | EAR",31
"RICHARDS, REED | MUT",107
"RICHMOND, DELROY",3
"RICKMAN, JONATHAN",15
RICOCHET RITA,24
RICOCHET/SEN. STEVEN,29
RICTOR/JULIO ESTEBAN,696
"RIDDLEY, HIRAM RAM",11
"RIDER, CHARLES",85
"RIDER, GLORIA",81
"RIDER, ROBERT ROBBIE",73
"RIDGEWAY, DAWN",12
"RIESER, ROB",3
"RIFKIN, BIFF",16
"RIFKIN, MARJORIE",10
RIGER,100
RIGHT,11
RIGHT-WINGER/JEROME ,36
"RIGOLETTO, DON DANTE",24
"RILEY, JACK",12
"RILEY, KIM",5
"RILEY, MARIEL",3
RINGER II,9
RINGER/ANTHONY TONY ,26
RINGLEADER,30
RINGLET,15
RINGMASTER/MAYNARD T,186
RINGO KID,19
RINGTOSS,85
RINTRAH,298
RINTRAH DOPPELGANGER,4
"RIORDAN, JIMMY",13
RIOT II/,24
RIOT-ACT/,18
RIOT/HEIDI SLATKIN,9
RIP,1
RIPSTER,4
RIPTIDE,62
RISQUE/GLORIA,37
"RITTER, DEBORAH ",70
"RITTER, DONALD",63
"RIVERA, DR. JASON",25
"RIVERA, MS.",2
"RIVERS, JERRY",3
"ROBERTS, CHESS",16
"ROBERTS, TED",35
"ROBERTSON, AMANDA",139
"ROBERTSON, JOE",1849
"ROBERTSON, MARTHA",245
"ROBERTSON, PROF. BOB",8
"ROBERTSON, RANDY",296
"ROBESON, PROFESSOR K",14
"ROBINSON, LUCY",38
ROC/,20
ROCK PYTHON,159
ROCK/SAMUEL JOHN ROC,156
ROCKET RACCOON,36
ROCKET RACER/ROBERT ,99
ROCKETLAUNCHER/,27
ROCKWALL,3
"RODGERS, MARIANNE",106
RODOR,4
"RODRIGUEZ, DEBRA",3
"RODRIGUEZ, DET. PHIL",25
"ROEBERG, SEN.",9
"ROGERS, CAPT. STEVEN",5
"ROGERS, GAYLE",86
"ROGERS, W.T.",5
ROGUE /,2918
ROGUE DOPPELGANGER,73
ROGUE | MUTANT X-VER,54
ROK,14
"ROLLINS, MRS.",9
ROM CLONE,17
"ROM, SPACEKNIGHT",390
ROMA,157
"ROMAN, DR. NILES",19
"ROMANO, TONY",1
"ROMANOV, MICKEY",5
"ROMITA, JOHN",3
"ROMMEL, EDWIN ROMULU",26
"RON, DAN",3
"RON, TALLA",31
RONAN THE ACCUSER [K,251
"ROOSEVELT, FRANKLIN ",8
ROOTAR,50
"RORY, RICHARD",87
ROSE II/SGT. BLUME,30
ROSE III/,5
ROSE IV/JACOB JAKE C,140
"ROSE, HENRIETTA",6
"ROSE, JUSTICE",18
"ROSE, MICHKA",6
"ROSELLINI, ROBERTA",1
"ROSEN, WALTER",88
"ROSENBERG, ANNIE",3
"ROSENTHAL, BERNIE",302
ROSETTA STONE,9
"ROSETTI, GABRIEL",17
"ROSS, COURTNEY",36
"ROSS, EVERETT KENNET",255
"ROSS, GEN. THADDEUS ",775
"ROSSI, COL. MICHAEL ",44
"ROTH, ARNIE",113
"ROTH, DR. GERALD",19
ROTWRAP,5
ROUGHHOUSE,58
ROULETTE II/JENNY ST,172
ROULETTE/DUDE JENSEN,2
"ROUSSEAU, ETIENNE",9
ROUST,40
"ROWEN, CARL",3
"ROWEN, MIKE",2
"ROYCE, JENNIE",76
"ROYTON, RAYMOND",2
RU,6
"RUBINO, STEVE HEADSE",32
RUBY,95
RUCKUS,19
"RUDOLFO, PRINCE",22
"RUIZ, DR. BERNARDO",2
"RUIZ, RHYTHM",6
"RUIZ, RIGGER",157
RUMOR/,9
"RUNCITER, GAIL",52
RUNNER,74
"RUSSELL, LISSA",67
RUSSIAN,29
RY'LOR,4
"RYAN, THOMAS",34
"RYANS, JIM",1
"RYCHENKO, MAJ. VALEN",1
RYDER,16
"RYKER, GENERAL",26
"RYKER, HARLAN",44
"RYKER, LUCY",11
"RYKER, MAJOR SIMON",8
"RYKING, ALEXANDER",17
RYNDA,2
S'LAR,13
S'YM,218
SA'TNEEN,39
"SABINI, JERRY THE WH",24
SABOTEUR/,14
SABRA/RUTH BAT-SERAP,235
SABRE,17
SABRETOOTH | MUTANT ,9
SABRETOOTH/VICTOR CR,472
SABU,13
"SABUKI, DR. SAM",4
SACK,32
SACRIFICER,20
"SAGE, HENRY",2
SAGITTARIUS II/,4
SAGITTARIUS/HARLAN V,162
SAHREED,3
SAI/,5
SAINT ANNA,5
SAINT ELMO,5
"SAINT, AMANDA",4
"SAINT, JOHNNY",7
SAJA,1
SAKAA,5
SALLA,9
SALOME,12
SALTZ/,17
SALVO,13
SAMA-D,7
SAMEDAR,51
SAMHAIN,6
SAMMAEL,6
SAMSON,9
SAMUELS,25
SAMURAI STEEL/YOSHID,1
"SANADA, KONO",4
SANCTION/AARON,7
SANCTITY/TANYA TRASK,17
"SANDERS, DET. NAPOLE",6
"SANDERS, MAC",13
"SANDHURST, VINCENT",8
SANDMAN DOPPELGANGER,5
SANDMAN/WILLIAM BAKE,739
"SANDOR, PROFESSOR IS",24
"SANDOVAL, DIEGO",26
"SANDOVAL, JULIANA",7
SANDSTORM/,1
SANDY,6
SANGUINE,14
SANTA CLAUS/NICK ST.,3
"SANTINI, DR. JOSE",40
"SANTOS, JOSE",1
"SAPIR, HERSCHEL",10
SAPPER,24
SAPPHIRAS,41
"SAPRISTI, JERRY",136
SARACEN,6
SARDAN,7
SARIEL,6
"SAROYAN, NEAL",26
SASQUATCH DOPPELGANG,163
SASQUATCH II,63
SASQUATCH/WALTER LAN,1372
SAT-YR-9,71
SATAN/MARDU KURIOS,84
SATANA,6
SATANNISH,85
SATELLITE,13
SATHAN,8
"SATURNYNE, OPAL LUNA",109
SAUL,27
"SAUNDERS, DABNEY",2
"SAUNDERS, KRISTINE",27
SAURON/DR. KARL LYKO,280
SAVAGE STEEL II/ARTH,24
SAVAGE STEEL/HARRY L,19
"SAVANNAH, LOU-ANN",5
"SAWYER, GENERAL SAMU",16
"SAWYER, RYAN",12
"SAXON, STARR",149
SAYGE,36
SCALEFACE/,13
SCALPHUNTER,126
SCANDIUM,46
"SCANLON, COMMANDER",18
SCANNER II,235
SCANNER II/RHANLA,44
SCANNER/SKERA,15
SCAR THE STALKER/BRI,4
SCARBO,6
SCARECROW II,10
SCARECROW/EBENEZER L,33
"SCARFE, RAFAEL",158
SCARLET CENTURION,84
SCARLET SCARAB/DR. F,13
SCARLET WITCH DOPPEL,41
SCARLET WITCH/WANDA ,5184
"SCARLOTTI, MICHAEL J",7
"SCARPETTI, ALPHONSE",2
SCARUM/,17
SCATTERBRAIN,151
SCATTERSHOT/NATALIA,15
SCENE STEALER,3
"SCHEELE, STEPHANIE",4
SCHEMER/RICHARD FISK,238
"SCHOENFELD, ELAINE",16
"SCHOOLCRAFT, DR. DEN",29
"SCHUYLER, DR. REBECC",8
"SCHWINNER, DR. ERIC",31
"SCICLUNA, MICHELE",11
SCIMITAR,11
SCINTILLA,2
SCORCH II,47
SCORCH/TOMMY NG,1
SCORCHER/,61
SCORPIA,16
SCORPIO II,15
SCORPIO III/MIKEL FU,8
SCORPIO IV,33
SCORPIO/JAKE FURY,58
SCORPION/MACDONALD G,118
"SCOTT, JAKE",10
"SCOTT, PARIS",3
"SCOTT, PETER",20
SCOURGE,70
SCOURGE II/,44
SCRAMBLER,66
SCRATCH,26
"SCRATCH, NICHOLAS",46
SCREAM,70
SCREAMING MIMI/MELIS,759
SCRIBE,25
SCRIER,14
SCRIER II/,68
SCRIER II/S. CRIER,17
"SCRIPPS, LAHOYA",2
SCUZZ,11
SCYLLA,3
SCYTHE/,14
SEA URCHIN/JEREMY SW,18
SEA WITCH/BRIGIT O'H,19
SEAWEED MAN,1
"SEBASTIAN, MARISSA",28
SEDNA,6
SEEKER III,10
SEEKER/TARM,17
SEER,6
SEERESS,3
SEESHA,22
"SEGAR, OWEN",16
SELENE,290
SELENE | MUTANT X-VE,9
SEMIJAN,42
"SENNET, PAMELA",17
"SENREICH, GUNTHER",6
SENSATIONAL HYDRA/A ,21
SENSO,14
SENTINELS,159
SENTRY 459,60
SENTRY 571,11
SENTRY II/BOB REYNOL,10
SENTRY III,39
SENTRY IV/VAL,29
SENYAKA,42
"SENYAKA, TIA",5
SERAPH,5
SERESTUS,11
SERGEI,161
SERPENTYNE,7
SERSI | MUTANT X-VER,11
SERSI/SYLVIA,1279
SERVITOR,27
SET,26
SETH,52
SETH II,144
SETH III,6
"SEVERIN, MARIE",8
"SEWARD, ANNE",14
"SEWARD, DR. CHARLES",18
"SEWARD, ELISABETH",12
"SEWARD, JANE",15
SHA SHAN,179
SHAARA,10
"SHAARA, MRS.",9
"SHAARA, SANJIT",10
SHADES,23
SHADOW KING | MUTANT,6
SHADOW KING/AMAHL FA,166
SHADOW QUEEN/SHIALMA,5
SHADOWCASTER/,9
SHADOWCAT 2013,40
SHADOWCAT | MUTANT X,12
SHADOWCAT/KATHERINE ,2276
SHADOWKNIGHT/RANDALL,11
SHADOWOMAN/JILLIAN W,3
"SHAITAN, AL",11
SHAKATI,47
SHAKTI,20
SHALAK,1
SHALLA BAL,4
SHALLA BAL II,78
SHAMAN II,14
SHAMAN III,2
SHAMAN | MUTANT X-VE,2
SHAMAN/MICHAEL TWOYO,1154
SHAMROCK/MOLLY FITZG,245
"SHANE, BRIDGIT",3
SHANG-CHI,372
SHANGA,14
SHANNA/SHANNA O'HARA,402
SHANZAR,22
"SHAPANDER, KARIMA",5
SHAPE,179
SHAPER OF WORLDS,24
SHARD,80
SHARK/,7
"SHARP, TRINA",10
"SHARPE, ROSALINDE",121
SHARYD/CONAL,6
SHATTERAX,86
SHATTERFIST/,23
SHATTERSTAR II/GAVEE,520
"SHAUNEGHANN, MICHAEL",26
"SHAW, ESAU",1
"SHAW, HIRAM",3
"SHAW, JACOB",2
"SHAW, OBADIAH",5
"SHAW, SAMARRA",10
"SHAW, SARAH",4
"SHAW, SHINOBI",94
SHAZANA,10
SHE-CAT,4
SHE-HULK DOPPELGANGE,101
SHE-HULK/JENNIFER WA,2797
SHE-WOLF/PAULETTE BR,2
"SHEFFIELD, LEAH",9
"SHELDON, PHIL",45
SHELL/,2
SHELLSHOCK/,22
"SHERIDAN, FLORENCE",19
"SHERIDAN, LEAH",6
"SHERIDAN, RICHARD RI",68
"SHERIDAN, WILLIAM",13
"SHERMAN, GEN.",17
"SHIFFMAN, MAXIE",24
SHIGARU,7
SHIN,9
SHINAR,14
"SHINCHUKO, LOTUS",61
"SHINSKI, PROFESSOR W",66
SHIP,195
"SHIPPINSKY, MALIK",6
"SHIRE, DR. RANDALL",46
SHIVA,3
SHIVER MAN,9
SHOC/NEIL AIKEN,26
SHOCKER/HERMAN SCHUL,115
SHOCKWAVE ROBOT,4
SHOCKWAVE/LANCASTER ,111
"SHOOTER, JIM",12
SHOOTING STAR,72
"SHORR, JACQUELINE",51
SHORT CIRCUIT/HENRY ,10
SHOT/,6
SHOTGUN II/WALKER,21
SHOTGUN III/,34
SHOTGUN/ZEKE SALLING,10
SHREEVE,1
SHREW/MARILYN MAYCRO,22
SHRIEK/SANDRA DEEL/F,36
SHRILL/,19
SHRINE,6
SHROUD/MAXIMILLIAN Q,165
SHULK,11
SHUMA-GORATH,5
SHYM'R,1
SIBERCAT/,16
SIBERION,5
SICKLE,19
SICKLE II/,24
SIDEWINDER/SETH VOEL,154
SIEGE/JOHN KELLY,8
"SIEGEL, DR. AVRAM",16
SIF,1349
SIFFROR,6
SIGMAR,13
SIGN/,12
SIGYN,93
SIINGARD,25
SIKORSKY,179
"SIKORSKY, RAYMOND",176
SILENCE/,21
SILENCER,3
SILENT ONE,27
SILHOUETTE,441
"SILVANI, VITTORIO",33
SILVER,61
SILVER DAGGER/ISAIAH,28
SILVER FOX II/ZORA D,32
SILVER FOX/BAYAN,7
SILVER II,38
SILVER SABLE,217
SILVER SAMURAI/KENYU,205
SILVER SCORPION/ELIS,81
SILVER SURFER DOPPEL,38
SILVER SURFER IMPOST,40
SILVER SURFER | MUTA,5
SILVER SURFER/NORRIN,1594
SILVERCLAW/LA GARRA ,102
"SILVERCLOUD, SAM",3
SILVERMANE/SILVIO MA,161
SIMBUS,11
"SIMMONS, ARCHIE",4
"SIMON, ALEX FLORES",116
"SIMON, FELIX",17
"SIMONSON, LOUISE",27
"SIMPSON, CRASH",6
"SIMS, EZEKIEL",9
SIN-EATER/STAN CARTE,25
"SINCLAIR, MORGAN",21
SINEW/,54
SINGER,34
"SINGER, MERLE",2
"SINGH, DR.",2
SINTARIIS,5
SIR,11
SIR BENEDICT,12
SIROCCO,14
SIRYN/THERESA ROURKE,837
SISTER AGONY,31
SISTER CHLOE,32
SISTER DEATH,43
SISTER DREAM,57
SISTER KATRINA,3
SISTER MARIA,5
SISTER NIL,16
SISTER PERPETUA,3
SISTER PLEASURE/SCAR,50
SISTER SALVATION,21
SITTING BULLSEYE/,23
"SITWELL, JASPER",354
SKADI,17
SKAR,28
SKARLET,2
SKETCH/,3
SKEWER,13
SKIDS/SALLY BLEVINS,345
SKIN II/DONNA BLISS,27
"SKIN, NYLA",10
SKIN/ANGELO ESPINOSA,550
SKINNER,4
SKOLL,12
SKOOKA,37
SKUL/JOHN SKULINOWSK,6
SKULL-JACKET,2
SKULLBUSTER,42
SKULLCRASHER/,1
SKUNGE,14
SKY-WALKER,4
SKYE,9
SKYHAWK/WINSTON BILL,16
SKYMAX/SK'YM'X/JAMES,14
SLAB/KRIS ANDERSON,27
SLADE,7
"SLAG/SLAGHT, DR. THE",17
SLAMBEAUX,3
SLASHER,9
SLASHER II,1
SLAUGHTER,2
SLAUGHTER II/CONSTAN,4
"SLAVINSKI, SALLY",1
SLAYER/,1
SLEDGE,52
SLEEK,12
SLEEPER,44
SLEEPWALKER,113
SLICE/,11
SLICK,7
SLIDE,1
SLITHER,123
"SLOAN, ANNA",1
"SLOAN, DR.",75
"SLOAN, FRED",65
"SLOAN, JASON",27
SLOTH,14
SLOTOTH,3
SLUG/ULYSSES X. LUGM,78
"SLUGANSKI, ERNIE",2
SLUJ,10
SLUK,9
SLYDE,64
"SMALLWOOD, DAN",17
SMART ALEC/ALEC THOR,9
SMASHER II,15
SMASHER III,5
SMASHER IV,133
SMEDLEY,2
"SMERDILOVISC, VICTOR",14
SMILING TIGER/,50
"SMITH, ANDY",2
"SMITH, COL. TOLLIVER",24
"SMITH, DR. ARMSTRONG",11
"SMITH, HELEN BACK",1
"SMITH, JOE",28
"SMITH, KEVIN",22
"SMITH, MANDY",7
"SMITH, MARTY LOUIS L",63
"SMITH, SIR DENIS NAY",203
"SMITH, WANDA JO BIAL",3
SMOKESCREAM/,20
SMOKESCREEN/,29
SMUGGLER II/CONRAD J,61
"SMYTHE, ALISTAIR ALP",82
"SMYTHE, SPENCER",36
SNAGG,24
SNAKE,20
SNAKE-EYES,2
SNAKEBITE/,32
SNAKESKIN II/,2
SNAPDRAGON/SHEOKE SA,41
SNARE,6
"SNIDER, DET. LOU",34
SNIPER/VON BURIAN,1
"SNIPES, DET.",10
"SNOW, CHARLIE",31
"SNOW, TANDY",20
"SNOW, VICTORIA",6
SNOWBIRD | MUTANT X-,15
SNOWBIRD/NARYA/ANNE ,539
SNOWBLIND/,11
"SOAP, DET.",26
SOCRATES SOCK,15
SODIUM,19
"SOFEN, KARL AUGUST",32
"SOFEN, MARION",30
SOLAR WIND,25
SOLARR,32
"SOLE, MAJOR REMINGTO",23
"SOLE, RANSOME",20
SOLO/,75
SOMBRE,5
"SOMERS, JOHNATHAN",2
"SOMERS, KATHY",13
"SOMMERS, APRIL",23
SOMON,5
"SONDHEIM, ERICA",87
SONIC,16
SOPHIE,80
SORRENTINO/SORRENTIN,29
SORROW/,7
SOTEIRA,6
"SOTO, BERNARD",6
SOUL MAN/FATHER JASO,22
SOUL-EATER,20
SOULFIRE/JASON MALDO,9
SOUNDBYTE/,8
"SOUSA, PAUL",9
"SOUTHERN, CANDY",273
SPACE PHANTOM,67
SPANKER/FRED HOVEL,16
"SPAR, DR. KATHERINE ",21
SPARK,22
SPARROW,37
SPARX/AURELLE,10
SPAT,23
"SPAULDING, JILL",7
"SPAULDING, PETER",33
SPEAR,7
SPECTRA/SELENA SLATE,1
"SPECTRUM, SINCLAIR",8
SPEEDBALL DOPPELGANG,178
SPEEDBALL II/DARRION,171
SPEEDBALL/ROBBIE BAL,933
SPEEDFREEK/SHAPPE,9
"SPENCER, TRACY",4
"SPERZEL, ANTON",3
"SPETSBURO, GEN. YURI",7
SPHINX,152
SPHINX II,64
SPHINX III,4
SPIDER-MAN CLONE/BEN,715
SPIDER-MAN III/MARTH,110
SPIDER-MAN/PETER PAR,6652
SPIDER-WOMAN DOPPELG,94
SPIDER-WOMAN II/JULI,977
SPIDER-WOMAN IV/CHAR,34
SPIDER-WOMAN/JESSICA,429
SPIDERCIDE,99
SPIKE,11
SPIKEY,30
SPIRAL,322
SPIRAL II/ESTELLE GE,7
SPIRIT OF '76/WILLIA,10
SPITFIRE/LADY JACQUE,206
"SPITZ, BARRY",3
SPLICE II/,6
SPLICE/CHANDRA KU,67
SPOILSPORT/,11
SPOOKY,10
SPOOR/ANDREW HAMISH ,52
SPORE,8
SPOT/,16
SPRAGG,21
"SPRINGER, JERRY",8
SPRITE,88
SPROCKET,64
SPUNJE,94
SPYMASTER II,27
SPYMASTER/JAKE JORDA,27
SPYNE,44
SQUID/DONNY CALLAHAN,15
SQUIRE/,15
SQUIRREL GIRL/,1
SSS'LETHCOTT,4
SSSESTHUGAR,13
SSSITH,21
"ST. CROIX, CARTIER",21
"ST. CROIX, CLAUDETTE",65
"ST. CROIX, LOUIS",1
"ST. CROIX, NICOLE",59
